# id free-exercise-db<TAB>český název (návrh). Upravuj ručně, pak spusť build.py.
3_4_Sit-Up	Sedy-lehy do tří čtvrtin
Medicine_Ball_Full_Twist	Rotace s medicinbalem
Medicine_Ball_Scoop_Throw	Hod medicinbalem nabíráním
Middle_Back_Shrug	Stahování lopatek s jednoručkami
Middle_Back_Stretch	Protažení středu zad
Mixed_Grip_Chin	Shyby smíšeným úchopem
Monster_Walk	Monster walk s gumou
Mountain_Climbers	Horolezec
Moving_Claw_Series	Běžecký dril „drápy“
Muscle_Snatch	Muscle snatch (trh bez podřepu)
Muscle_Up	Muscle up
Narrow_Stance_Hack_Squats	Hack dřep na stroji s úzkým postojem
Narrow_Stance_Leg_Press	Leg press s úzkým postojem
Narrow_Stance_Squats	Dřep s úzkým postojem
Natural_Glute_Ham_Raise	Glute ham raise vlastní vahou
Neck-SMR	Masáž krku
Neck_Press	Bench press ke krku
Oblique_Crunches	Šikmé zkracovačky
Oblique_Crunches_-_On_The_Floor	Šikmé zkracovačky na zemi
Olympic_Squat	Olympijský dřep
On-Your-Back_Quad_Stretch	Protažení stehna vleže na zádech
On_Your_Side_Quad_Stretch	Protažení stehna vleže na boku
One-Arm_Dumbbell_Row	Jednoruční přítahy jednoručky
One-Arm_Flat_Bench_Dumbbell_Flye	Jednoruční rozpažování na rovné lavici
One-Arm_High-Pulley_Cable_Side_Bends	Jednoruční úklony na horní kladce
One-Arm_Incline_Lateral_Raise	Jednoruční upažování na šikmé lavici
One-Arm_Kettlebell_Clean	Jednoruční přemístění kettlebellu
One-Arm_Kettlebell_Clean_and_Jerk	Jednoruční nadhoz s kettlebellem (clean and jerk)
One-Arm_Kettlebell_Floor_Press	Jednoruční tlak s kettlebellem na zemi
One-Arm_Kettlebell_Jerk	Jednoruční nadhoz s kettlebellem
One-Arm_Kettlebell_Military_Press_To_The_Side	Jednoruční tlak s kettlebellem s úklonem
One-Arm_Kettlebell_Para_Press	Jednoruční para press s kettlebellem
One-Arm_Kettlebell_Push_Press	Jednoruční push press s kettlebellem
One-Arm_Kettlebell_Row	Jednoruční přítahy kettlebellu
One-Arm_Kettlebell_Snatch	Jednoruční trh s kettlebellem
One-Arm_Kettlebell_Split_Jerk	Jednoruční nůžkový nadhoz s kettlebellem
One-Arm_Kettlebell_Split_Snatch	Jednoruční nůžkový trh s kettlebellem
One-Arm_Kettlebell_Swings	Jednoruční švihy s kettlebellem
One-Arm_Long_Bar_Row	Jednoruční přítahy osy (landmine)
One-Arm_Medicine_Ball_Slam	Jednoruční slam s medicinbalem
One-Arm_Open_Palm_Kettlebell_Clean	Jednoruční přemístění kettlebellu otevřenou dlaní
One-Arm_Overhead_Kettlebell_Squats	Jednoruční dřep s kettlebellem nad hlavou
One-Arm_Side_Deadlift	Jednoruční mrtvý tah bokem
One-Arm_Side_Laterals	Jednoruční upažování
One-Legged_Cable_Kickback	Zanožování na kladce
One_Arm_Against_Wall	Protažení paže o zeď
One_Arm_Chin-Up	Shyby na jedné ruce
One_Arm_Dumbbell_Bench_Press	Jednoruční bench press s jednoručkou
One_Arm_Dumbbell_Preacher_Curl	Jednoruční Scottův zdvih s jednoručkou
One_Arm_Floor_Press	Jednoruční tlak na zemi
One_Arm_Lat_Pulldown	Jednoruční stahování kladky
One_Arm_Pronated_Dumbbell_Triceps_Extension	Jednoruční tricepsové extenze nadhmatem
One_Arm_Supinated_Dumbbell_Triceps_Extension	Jednoruční tricepsové extenze podhmatem
One_Half_Locust	Poloviční kobylka (jóga)
One_Handed_Hang	Vis na jedné ruce
One_Knee_To_Chest	Koleno k hrudi (protažení)
One_Leg_Barbell_Squat	Dřep na jedné noze s velkou činkou
Open_Palm_Kettlebell_Clean	Přemístění kettlebellu otevřenou dlaní
Otis-Up	Otis-up (sed-leh s kotoučem)
Overhead_Cable_Curl	Bicepsový zdvih nad hlavou na kladkách
Overhead_Lat	Protažení širokého svalu zádového nad hlavou
Overhead_Slam	Slam s medicinbalem nad hlavou
Overhead_Squat	Dřep s činkou nad hlavou
Overhead_Stretch	Protažení nad hlavou
Overhead_Triceps	Protažení tricepsu nad hlavou
Pallof_Press	Pallofův tlak
Pallof_Press_With_Rotation	Pallofův tlak s rotací
Palms-Down_Dumbbell_Wrist_Curl_Over_A_Bench	Zápěstní zdvihy nadhmatem s jednoručkou přes lavici
Palms-Down_Wrist_Curl_Over_A_Bench	Zápěstní zdvihy nadhmatem přes lavici
Palms-Up_Barbell_Wrist_Curl_Over_A_Bench	Zápěstní zdvihy podhmatem s velkou činkou přes lavici
Palms-Up_Dumbbell_Wrist_Curl_Over_A_Bench	Zápěstní zdvihy podhmatem s jednoručkou přes lavici
Parallel_Bar_Dip	Kliky na bradlech
Pelvic_Tilt_Into_Bridge	Podsazení pánve do mostu
Peroneals-SMR	Masáž válcem – lýtkové svaly zvenku
Peroneals_Stretch	Protažení vnější strany lýtka
Physioball_Hip_Bridge	Hýžďový most na míči
Pin_Presses	Bench press ze zarážek
Piriformis-SMR	Masáž válcem – hruškovitý sval
Plank	Prkno (plank)
Plate_Pinch	Držení kotoučů prsty
Plate_Twist	Rotace s kotoučem
Platform_Hamstring_Slides	Zakopávání se skluzem
Plie_Dumbbell_Squat	Plié dřep s jednoručkou
Plyo_Kettlebell_Pushups	Výbušné kliky na kettlebellech
Plyo_Push-up	Výbušné kliky
Posterior_Tibialis_Stretch	Protažení zadní strany holeně
Power_Clean	Silové přemístění (power clean)
Power_Clean_from_Blocks	Silové přemístění z bloků
Power_Jerk	Silový nadhoz
Power_Partials	Částečné upažování s jednoručkami
Power_Snatch	Silový trh
Power_Snatch_from_Blocks	Silový trh z bloků
Power_Stairs	Power stairs (nošení závaží do schodů)
Preacher_Curl	Scottův zdvih s činkou
Preacher_Hammer_Dumbbell_Curl	Kladivový Scottův zdvih s jednoručkou
Press_Sit-Up	Sed-leh s tlakem činky
Prone_Manual_Hamstring	Zakopávání s ruční dopomocí
Prowler_Sprint	Sprint s prowlerem
Pull_Through	Protahování lana mezi nohama
Pullups	Shyby nadhmatem
Push-Up_Wide	Kliky široce
Push-Ups_-_Close_Triceps_Position	Kliky úzce (triceps)
Push-Ups_With_Feet_Elevated	Kliky s nohama nahoře
Push-Ups_With_Feet_On_An_Exercise_Ball	Kliky s nohama na míči
Push_Press	Push press (tlak s podřepem)
Push_Press_-_Behind_the_Neck	Push press za hlavou
Push_Up_to_Side_Plank	Klik do bočního prkna
Pushups	Kliky
Pushups_Close_and_Wide_Hand_Positions	Kliky úzce a široce
Pyramid	Pyramida na míči (protažení)
Quad_Stretch	Protažení stehna
Quadriceps-SMR	Masáž válcem – kvadricepsy
Quick_Leap	Rychlý odraz
Rack_Delivery	Nácvik polohy činky na ramenou
Rack_Pull_with_Bands	Mrtvý tah ze stojanu s gumami
Rack_Pulls	Mrtvý tah ze stojanu (rack pull)
Rear_Leg_Raises	Zanožování (protažení)
Recumbent_Bike	Ležaté kolo
Return_Push_from_Stance	Návratový odhod medicinbalu
Reverse_Band_Bench_Press	Bench press s obrácenými gumami
Reverse_Band_Box_Squat	Dřep na bednu s obrácenými gumami
Reverse_Band_Deadlift	Mrtvý tah s obrácenými gumami
Reverse_Band_Power_Squat	Dřep s obrácenými gumami
Reverse_Band_Sumo_Deadlift	Sumo mrtvý tah s obrácenými gumami
Reverse_Barbell_Curl	Zdvih nadhmatem s velkou činkou
Reverse_Barbell_Preacher_Curls	Scottův zdvih nadhmatem s EZ činkou
Reverse_Cable_Curl	Zdvih nadhmatem na kladce
Reverse_Crunch	Obrácené zkracovačky
Reverse_Flyes	Zapažování v předklonu
Reverse_Flyes_With_External_Rotation	Zapažování s vnější rotací
Reverse_Grip_Bent-Over_Rows	Přítahy velké činky podhmatem
Reverse_Grip_Triceps_Pushdown	Stlačování kladky podhmatem
Reverse_Hyperextension	Obrácená hyperextenze
Reverse_Machine_Flyes	Zapažování na stroji (reverse pec deck)
Reverse_Plate_Curls	Zdvih nadhmatem s kotoučem
Reverse_Triceps_Bench_Press	Bench press podhmatem
Rhomboids-SMR	Masáž válcem – rombické svaly
Rickshaw_Carry	Nošení rikši
Rickshaw_Deadlift	Mrtvý tah s rikšou
Ring_Dips	Kliky na kruzích
Rocket_Jump	Raketový výskok
Rocking_Standing_Calf_Raise	Výpony ve stoje s velkou činkou s kolébáním
Rocky_Pull-Ups_Pulldowns	Shyby a stahování za hlavu i před hlavu
Romanian_Deadlift	Rumunský mrtvý tah
Romanian_Deadlift_from_Deficit	Rumunský mrtvý tah z vyvýšení
Rope_Climb	Šplh na laně
Rope_Crunch	Zkracovačky s lanem na kladce
Rope_Jumping	Švihadlo
Rope_Straight-Arm_Pulldown	Stahování lana s propnutými pažemi
Round_The_World_Shoulder_Stretch	Protažení ramen kroužením
Rowing_Stationary	Veslovací trenažér
Runners_Stretch	Protažení běžce
Running_Treadmill	Běh na páse
Russian_Twist	Ruský twist
Sandbag_Load	Nakládání pytle s pískem
Scapular_Pull-Up	Lopatkové shyby
Scissor_Kick	Nůžky nohama
Scissors_Jump	Nůžkové výskoky
Seated_Band_Hamstring_Curl	Zakopávání vsedě s gumou
Seated_Barbell_Military_Press	Tlak s velkou činkou nad hlavu vsedě
Seated_Barbell_Twist	Rotace trupu vsedě s tyčí
Seated_Bent-Over_One-Arm_Dumbbell_Triceps_Extension	Jednoruční tricepsové extenze vsedě v předklonu
Seated_Bent-Over_Rear_Delt_Raise	Zapažování vsedě v předklonu
Seated_Bent-Over_Two-Arm_Dumbbell_Triceps_Extension	Tricepsové extenze s jednoručkami vsedě v předklonu
Seated_Biceps	Protažení bicepsu vsedě
Seated_Cable_Rows	Veslování na kladce vsedě
Seated_Cable_Shoulder_Press	Tlak nad hlavu na kladkách vsedě
Seated_Calf_Raise	Výpony vsedě
Seated_Calf_Stretch	Protažení lýtek vsedě
Seated_Close-Grip_Concentration_Barbell_Curl	Koncentrovaný zdvih s velkou činkou vsedě
Seated_Dumbbell_Curl	Bicepsový zdvih s jednoručkami vsedě
Seated_Dumbbell_Inner_Biceps_Curl	Bicepsový zdvih vsedě s pažemi od těla
Seated_Dumbbell_Palms-Down_Wrist_Curl	Zápěstní zdvihy nadhmatem s jednoručkami vsedě
Seated_Dumbbell_Palms-Up_Wrist_Curl	Zápěstní zdvihy podhmatem s jednoručkami vsedě
Seated_Dumbbell_Press	Tlak s jednoručkami vsedě
Seated_Flat_Bench_Leg_Pull-In	Přitahování kolen vsedě na rovné lavici
Seated_Floor_Hamstring_Stretch	Protažení hamstringů vsedě na zemi
Seated_Front_Deltoid	Protažení předních ramen vsedě
Seated_Glute	Protažení hýždí vsedě
Seated_Good_Mornings	Předklony s činkou vsedě (good morning)
Seated_Hamstring	Protažení hamstringů vsedě
Seated_Hamstring_and_Calf_Stretch	Protažení hamstringů a lýtek vsedě
Seated_Head_Harness_Neck_Resistance	Posilování krku s postrojem vsedě
Seated_Leg_Curl	Zakopávání vsedě (stroj)
Seated_Leg_Tucks	Přitahování kolen vsedě
Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl	Jednoruční zápěstní zdvihy nadhmatem vsedě
Seated_One-Arm_Dumbbell_Palms-Up_Wrist_Curl	Jednoruční zápěstní zdvihy podhmatem vsedě
Seated_One-arm_Cable_Pulley_Rows	Jednoruční veslování na kladce vsedě
Seated_Overhead_Stretch	Protažení nad hlavou vsedě
Seated_Palm-Up_Barbell_Wrist_Curl	Zápěstní zdvihy podhmatem s velkou činkou vsedě
Seated_Palms-Down_Barbell_Wrist_Curl	Zápěstní zdvihy nadhmatem s velkou činkou vsedě
Seated_Side_Lateral_Raise	Upažování vsedě
Seated_Triceps_Press	Tricepsový tlak vsedě
Seated_Two-Arm_Palms-Up_Low-Pulley_Wrist_Curl	Zápěstní zdvihy podhmatem na spodní kladce vsedě
See-Saw_Press_Alternating_Side_Press	Střídavý tlak s jednoručkami s úklonem (see-saw)
Shotgun_Row	Jednoruční přítah na kladce s rotací (shotgun row)
Shoulder_Circles	Kroužení rameny
Shoulder_Press_-_With_Bands	Tlak nad hlavu s gumou
Shoulder_Raise	Zvedání ramen (protažení)
Shoulder_Stretch	Protažení ramen
Side-Lying_Floor_Stretch	Protažení vleže na boku
Side_Bridge	Boční prkno
Side_Hop-Sprint	Boční poskoky se sprintem
Side_Jackknife	Boční sklapovačky
Side_Lateral_Raise	Upažování s jednoručkami
Side_Laterals_to_Front_Raise	Upažování a předpažování s jednoručkami
Side_Leg_Raises	Unožování (švihy)
Side_Lying_Groin_Stretch	Protažení třísel vleže na boku
Side_Neck_Stretch	Protažení krku do strany
Side_Standing_Long_Jump	Skok do dálky z bočního postoje
Side_To_Side_Chins	Shyby se přesunem ze strany na stranu
Side_Wrist_Pull	Protažení zápěstí do strany
Side_to_Side_Box_Shuffle	Přeskoky bedny ze strany na stranu
Single-Arm_Cable_Crossover	Jednoruční crossover
Single-Arm_Linear_Jammer	Jednoruční landmine jammer
Single-Arm_Push-Up	Klik na jedné ruce
Single-Cone_Sprint_Drill	Sprinterský dril kolem kuželu
Single-Leg_High_Box_Squat	Dřep na jedné noze na vysokou bednu
Single-Leg_Hop_Progression	Jednonožné poskoky (progrese)
Single-Leg_Lateral_Hop	Jednonožné boční poskoky
Single-Leg_Leg_Extension	Jednonožné předkopávání
Single-Leg_Stride_Jump	Jednonožné odrazy v kroku
Single_Dumbbell_Raise	Předpažování s jednou jednoručkou
Single_Leg_Butt_Kick	Jednonožné zakopávání s výskokem
Single_Leg_Glute_Bridge	Jednonožný hýžďový most
Single_Leg_Push-off	Jednonožný odraz
Sit-Up	Sedy-lehy
Sit_Squats	Dřep do sedu (protažení)
Skating	Bruslení
Sled_Drag_-_Harness	Tažení saní v postroji
Sled_Overhead_Backward_Walk	Chůze pozpátku se saněmi, ruce nad hlavou
Sled_Overhead_Triceps_Extension	Tricepsové extenze nad hlavou se saněmi
Sled_Push	Tlačení saní
Sled_Reverse_Flye	Zapažování se saněmi
Sled_Row	Přítahy saní
Sledgehammer_Swings	Údery kladivem do pneumatiky
Smith_Incline_Shoulder_Raise	Předsun ramen v multipressu na šikmé lavici
Smith_Machine_Behind_the_Back_Shrug	Krčení ramen za tělem v multipressu
Smith_Machine_Bench_Press	Bench press v multipressu
Smith_Machine_Bent_Over_Row	Přítahy v předklonu v multipressu
Smith_Machine_Calf_Raise	Výpony v multipressu
Smith_Machine_Close-Grip_Bench_Press	Bench press úzkým úchopem v multipressu
Smith_Machine_Decline_Press	Tlak hlavou dolů v multipressu
Smith_Machine_Hang_Power_Clean	Silové přemístění ze visu v multipressu
Smith_Machine_Hip_Raise	Zvedání pánve v multipressu
Smith_Machine_Incline_Bench_Press	Tlak na šikmé lavici v multipressu
Smith_Machine_Leg_Press	Leg press v multipressu
Smith_Machine_One-Arm_Upright_Row	Jednoruční přítah k bradě v multipressu
Smith_Machine_Overhead_Shoulder_Press	Tlak nad hlavu v multipressu
Smith_Machine_Pistol_Squat	Dřep na jedné noze v multipressu
Smith_Machine_Reverse_Calf_Raises	Obrácené výpony v multipressu (holeně)
Smith_Machine_Squat	Dřep v multipressu
Smith_Machine_Stiff-Legged_Deadlift	Mrtvý tah s propnutými koleny v multipressu
Smith_Machine_Upright_Row	Přítahy k bradě v multipressu
Smith_Single-Leg_Split_Squat	Jednonožný výpadový dřep v multipressu
Snatch	Trh (snatch)
Snatch_Balance	Snatch balance (nácvik trhu)
Snatch_Deadlift	Mrtvý tah v úchopu na trh
Snatch_Pull	Přítah na trh (snatch pull)
Snatch_Shrug	Krčení ramen z trhu
Snatch_from_Blocks	Trh z bloků
Speed_Band_Overhead_Triceps	Rychlé tricepsové extenze s gumou nad hlavou
Speed_Box_Squat	Rychlý dřep na bednu
Speed_Squats	Rychlé dřepy s velkou činkou
Spell_Caster	Kouzelník (spell caster)
Spider_Crawl	Pavoučí lezení
Spider_Curl	Spider curl s EZ činkou
Spinal_Stretch	Protažení páteře
Split_Clean	Přemístění do nůžek
Split_Jerk	Nůžkový nadhoz
Split_Jump	Výskoky z výpadu
Split_Snatch	Trh do nůžek
Split_Squat_with_Dumbbells	Výpadový dřep na místě s jednoručkami
Split_Squats	Střídavé výskoky z výpadu
Squat_Jerk	Nadhoz s podřepem
Squat_with_Bands	Dřep s gumami
Squat_with_Chains	Dřep s řetězy
Squat_with_Plate_Movers	Dřep s kotouči (plate movers)
Squats_-_With_Bands	Dřep s gumou
Stairmaster	Schodový trenažér (Stairmaster)
Standing_Alternating_Dumbbell_Press	Střídavý tlak s jednoručkami nad hlavu ve stoje
Standing_Barbell_Calf_Raise	Výpony ve stoje s velkou činkou
Standing_Barbell_Press_Behind_Neck	Tlak s velkou činkou za hlavou ve stoje
Standing_Bent-Over_One-Arm_Dumbbell_Triceps_Extension	Jednoruční tricepsové extenze ve stoje v předklonu
Standing_Bent-Over_Two-Arm_Dumbbell_Triceps_Extension	Tricepsové extenze s jednoručkami ve stoje v předklonu
Standing_Biceps_Cable_Curl	Bicepsový zdvih na kladce ve stoje
Standing_Biceps_Stretch	Protažení bicepsu ve stoje
Standing_Bradford_Press	Bradfordův tlak ve stoje
Standing_Cable_Chest_Press	Tlak na hrudník na kladkách ve stoje
Standing_Cable_Lift	Dřevorubec na kladce zdola nahoru
Standing_Cable_Wood_Chop	Dřevorubec na kladce
Standing_Calf_Raises	Výpony ve stoje na stroji
Standing_Concentration_Curl	Koncentrovaný zdvih ve stoje
Standing_Dumbbell_Calf_Raise	Výpony ve stoje s jednoručkami
Standing_Dumbbell_Press	Tlak s jednoručkami nad hlavu ve stoje
Standing_Dumbbell_Reverse_Curl	Zdvih nadhmatem s jednoručkami ve stoje
Standing_Dumbbell_Straight-Arm_Front_Delt_Raise_Above_Head	Předpažování s jednoručkami až nad hlavu
Standing_Dumbbell_Triceps_Extension	Tricepsové extenze s jednoručkou nad hlavou
Standing_Dumbbell_Upright_Row	Přítahy jednoruček k bradě
Standing_Elevated_Quad_Stretch	Protažení stehna ve stoje s nohou nahoře
Standing_Front_Barbell_Raise_Over_Head	Předpažování s velkou činkou až nad hlavu
Standing_Gastrocnemius_Calf_Stretch	Protažení lýtka ve stoje
Standing_Hamstring_and_Calf_Stretch	Protažení hamstringů a lýtek ve stoje
Standing_Hip_Circles	Kroužení kyčlemi ve stoje
Standing_Hip_Flexors	Protažení flexorů kyčle ve stoje
Standing_Inner-Biceps_Curl	Bicepsový zdvih ve stoje s pažemi od těla
Standing_Lateral_Stretch	Úklon ve stoje (protažení)
Standing_Leg_Curl	Zakopávání ve stoje (stroj)
Standing_Long_Jump	Skok do dálky z místa
Standing_Low-Pulley_Deltoid_Raise	Upažování na spodní kladce ve stoje
Standing_Low-Pulley_One-Arm_Triceps_Extension	Jednoruční tricepsové extenze na spodní kladce ve stoje
Standing_Military_Press	Vojenský tlak ve stoje
Standing_Olympic_Plate_Hand_Squeeze	Mačkání kotouče rukou
Standing_One-Arm_Cable_Curl	Jednoruční bicepsový zdvih na kladce
Standing_One-Arm_Dumbbell_Curl_Over_Incline_Bench	Jednoruční bicepsový zdvih přes šikmou lavici ve stoje
Standing_One-Arm_Dumbbell_Triceps_Extension	Jednoruční tricepsové extenze nad hlavou ve stoje
Standing_Overhead_Barbell_Triceps_Extension	Tricepsové extenze s velkou činkou nad hlavou ve stoje
Standing_Palm-In_One-Arm_Dumbbell_Press	Jednoruční tlak s jednoručkou nad hlavu neutrálním úchopem
Standing_Palms-In_Dumbbell_Press	Tlak s jednoručkami nad hlavu neutrálním úchopem
Standing_Palms-Up_Barbell_Behind_The_Back_Wrist_Curl	Zápěstní zdvihy za zády
Standing_Pelvic_Tilt	Podsazení pánve ve stoje
Standing_Rope_Crunch	Zkracovačky s lanem ve stoje
Standing_Soleus_And_Achilles_Stretch	Protažení lýtka a Achillovy šlachy ve stoje
Standing_Toe_Touches	Předklon k prstům ve stoje
Standing_Towel_Triceps_Extension	Tricepsové extenze s ručníkem
Standing_Two-Arm_Overhead_Throw	Hod medicinbalem nad hlavou ve stoje
Star_Jump	Hvězdicový výskok
Step-up_with_Knee_Raise	Výstup na lavici s přitažením kolene
Step_Mill	Schodový trenažér
Stiff-Legged_Barbell_Deadlift	Mrtvý tah s propnutými koleny
Stiff-Legged_Dumbbell_Deadlift	Mrtvý tah s propnutými koleny s jednoručkami
Stiff_Leg_Barbell_Good_Morning	Předklony s činkou s propnutými koleny (good morning)
Stomach_Vacuum	Vtahování břicha (vakuum)
Straight-Arm_Dumbbell_Pullover	Pullover s jednoručkou
Straight-Arm_Pulldown	Stahování kladky s propnutými pažemi
Straight_Bar_Bench_Mid_Rows	Přítahy velké činky vleže na lavici
Straight_Raises_on_Incline_Bench	Zdvihy propnutých paží na šikmé lavici
Stride_Jump_Crossover	Odrazy v kroku s překřížením
Sumo_Deadlift	Sumo mrtvý tah
Sumo_Deadlift_with_Bands	Sumo mrtvý tah s gumami
Sumo_Deadlift_with_Chains	Sumo mrtvý tah s řetězy
Superman	Superman
Supine_Chest_Throw	Odhod medicinbalu od hrudi vleže
Supine_One-Arm_Overhead_Throw	Jednoruční hod medicinbalem nad hlavou vleže
Supine_Two-Arm_Overhead_Throw	Hod medicinbalem nad hlavou vleže
Suspended_Fallout	Rollout v TRX
Suspended_Push-Up	Kliky v TRX
Suspended_Reverse_Crunch	Obrácené zkracovačky v TRX
Suspended_Row	Přítahy v TRX
Suspended_Split_Squat	Bulharský dřep v TRX
Svend_Press	Svend press
T-Bar_Row_with_Handle	T-bar přítahy s držadlem
Tate_Press	Tate press
The_Straddle	Protažení v roznožení
Thigh_Abductor	Unožování na stroji (abdukce)
Thigh_Adductor	Přitahování nohou na stroji (addukce)
Tire_Flip	Převracení pneumatiky
Toe_Touchers	Dotyky prstů u nohou vleže
Torso_Rotation	Rotace trupu na míči
Trail_Running_Walking	Běh nebo chůze v terénu
Trap_Bar_Deadlift	Mrtvý tah s trap bar činkou
Tricep_Dumbbell_Kickback	Zanožování předloktí s jednoručkou (kickback)
Tricep_Side_Stretch	Protažení tricepsu do strany
Triceps_Overhead_Extension_with_Rope	Tricepsové extenze nad hlavou na kladce s lanem
Triceps_Pushdown	Stlačování kladky na triceps
Triceps_Pushdown_-_Rope_Attachment	Stlačování kladky s lanem
Triceps_Pushdown_-_V-Bar_Attachment	Stlačování kladky s V-držadlem
Triceps_Stretch	Protažení tricepsu
Tuck_Crunch	Zkracovačky se skrčenýma nohama
Two-Arm_Dumbbell_Preacher_Curl	Scottův zdvih s jednoručkami
Two-Arm_Kettlebell_Clean	Přemístění dvou kettlebellů
Two-Arm_Kettlebell_Jerk	Nadhoz se dvěma kettlebelly
Two-Arm_Kettlebell_Military_Press	Tlak se dvěma kettlebelly nad hlavu
Two-Arm_Kettlebell_Row	Přítahy dvou kettlebellů v předklonu
Underhand_Cable_Pulldowns	Stahování kladky podhmatem
Upper_Back-Leg_Grab	Protažení horních zad s úchopem nohou
Upper_Back_Stretch	Protažení horních zad
Upright_Barbell_Row	Přítahy velké činky k bradě
Upright_Cable_Row	Přítahy kladky k bradě
Upright_Row_-_With_Bands	Přítahy gumy k bradě
Upward_Stretch	Protažení vzhůru
V-Bar_Pulldown	Stahování kladky s V-držadlem
V-Bar_Pullup	Shyby s V-držadlem
Vertical_Swing	Vertikální švih s jednoručkou
Walking_Treadmill	Chůze na páse
Weighted_Ball_Hyperextension	Zakláňění na míči se zátěží
Weighted_Ball_Side_Bend	Úklony na míči se zátěží
Weighted_Bench_Dip	Kliky vzad o lavici se zátěží
Weighted_Crunches	Zkracovačky se zátěží
Weighted_Jump_Squat	Výskok z dřepu se zátěží
Weighted_Pull_Ups	Shyby se zátěží
Weighted_Sissy_Squat	Sissy dřep se zátěží
Weighted_Sit-Ups_-_With_Bands	Sedy-lehy s gumou
Weighted_Squat	Dřep se zátěží na opasku
Wide-Grip_Barbell_Bench_Press	Bench press širokým úchopem
Wide-Grip_Decline_Barbell_Bench_Press	Bench press hlavou dolů širokým úchopem
Wide-Grip_Decline_Barbell_Pullover	Pullover s velkou činkou hlavou dolů širokým úchopem
Wide-Grip_Lat_Pulldown	Stahování kladky širokým úchopem
Wide-Grip_Pulldown_Behind_The_Neck	Stahování kladky za hlavu širokým úchopem
Wide-Grip_Rear_Pull-Up	Shyby za hlavu širokým úchopem
Wide-Grip_Standing_Barbell_Curl	Bicepsový zdvih s velkou činkou širokým úchopem
Wide_Stance_Barbell_Squat	Dřep s velkou činkou širokým postojem
Wide_Stance_Stiff_Legs	Mrtvý tah s propnutými koleny širokým postojem
Wind_Sprints	Sprinty (wind sprints)
Windmills	Mlýnky
Worlds_Greatest_Stretch	Nejlepší protažení na světě (world's greatest stretch)
Wrist_Circles	Kroužení zápěstími
Wrist_Roller	Navíjení závaží na tyč
Wrist_Rotations_with_Straight_Bar	Rotace zápěstí s tyčí
Yoke_Walk	Chůze s jhem (yoke walk)
Zercher_Squats	Zercherův dřep
Zottman_Curl	Zottmanův zdvih
Zottman_Preacher_Curl	Zottmanův Scottův zdvih
